tag	description	label
blended_learning	blended learning	blended learning
competency_education	competency/mastery-based education	competency-based education
equity	designing for equity	designing for equity
experiential	experiential, work-based & place-based learning	experiential learning
staffing_infrastructure	flexible staffing & infrastructure	flexible staffing & infrastructure
learner_agency	learner agency	learner agency
maker	maker/design-centered learning	maker-centered learning
pbl	project-based learning	project-based learning
redefining_success	redefining measures of success	redefining measures of success
sel	social-emotional learning & school culture	social-emotional learning
udl	universal design for learning	universal design for learning
wraparound	wraparound services & integrated student supports	wraparound services
station_rotation	station rotation	station rotation
flipped_classroom	flipped classroom	flipped classroom
lab_rotation	lab rotation	lab rotation
individual_rotation	individual rotation	individual rotation
flex	flex model	flex model
a_la_carte	à la carte model	à la carte model
enriched_virtual	enriched virtual model	enriched virtual model
opportunities_mastery	multiple opportunities to demonstrate mastery	multiple opportunities for mastery
advancement_mastery	advancement on mastery	advancement on mastery
performance_assessment	performance based assessment	performance based assessment
grading_mastery	grading policies focus on mastery	grading policies focus on mastery
assessment_schedule	flexible assessment schedule	flexible assessment schedule
competency_framework	competency framework	competency framework
equity_plan	commitment to equity in strategic plan	commitment to equity
reallocation_resources	reallocation of resources for those most in need	reallocation of resources
design_margins	design at the margins	design at the margins
restorative_practice	culture of restorative practice	culture of restorative practice
culturally_relevant	practice of culturally relevant pedagogy	culturally relevant pedagogy
rigorous_coursework	rigorous coursework for all students	rigorous coursework for all
elimination_tracking	elimination of tracked classes	elimination of tracked classes
graduation_supports	supports for students off-track for graduation	graduation supports
poverty_supports	supports for high-poverty and homeless students	high poverty supports
immigrants_supports	supports for immigrants and refugees	immigrant and refugee supports
ell_supports	supports for English Language Learners	ELL supports
flexible_staffing	flexible staffing & alternative teaching roles	flexible staffing
flexible_facilities	flexible facilities & classroom design	flexible facilities
flexible_schedule	flexible schedule	flexible schedule
real_time_data	real time data use	real time data use
quality_materials	high quality instructional materials	high quality instructional materials
oer	open educational resources	open educational resources
multi_age	multi-age classrooms	multi-age classrooms
devices_home	take home devices	take home devices
integrated_data	integrated data from multiple technologies	integrated data
student_goals	student-led goal setting	student-led goal setting
student_pace	students progress at own pace	students progress at own pace
learning_paths	individual learning paths	individual learning paths
learner_profiles	individual learner profiles	individual learner profiles
student_conferences	student-led conferences	student-led conferences
student_data	students access their own data	students access their own data
projects_primary	projects as primary method of learning	projects as primary method
student_projects	students develop projects	students develop projects
interdisciplinary	interdisciplinary/multidisciplinary	interdisciplinary
real_world	real-world problem solving	real-world problem solving
exhibitions	student exhibitions	student exhibitions
portfolios	portfolios and evidence of student work	portfolios and evidence
career_prep	career training and preparation	career training and prep
outside_credit	credit for learning outside the classroom	credit for outside learning
service_learning	service learning	service learning
local_focus	foundation in local knowledge, heritage, culture	local knowledge, heritage, culture
local_global	connecting local and global	connecting local and global
design_thinking	design thinking process	design thinking process
community_partnerships	community and business partnerships	community partnerships
makerspace	makerspace	makerspace
measures_college	measures for college readiness	measures for college readiness
measures_career	measures for career readiness	measures for career readiness
measures_deeper	measures for deeper learning & 21st century skills	measures for deeper learning
measures_purpose	measures for purpose and agency	measures for purpose and agency
measures_sel	measures for social-emotional skills	measures for social-emotional skills
measures_climate	measures for school climate	measures for school climate
sel_plan	commitment to whole child or SEL in strategic plan	commitment to whole child
sel_curriculum	stand-alone SEL curriculum	stand-alone SEL curriculum
sel_integrated	SEL integrated across academics	SEL integrated across academics
circles	dialogue circles	dialogue circles
advisories	student advisories	student advisories
hiring_practices	hiring practices in support of student success	hiring supports student success
relevant_learning	relevant and contextualized learning assignments	relevant learning assignments
information_formats	access to information in multiple formats	information in multiple formats
ways_mastery	multiple ways to demonstrate mastery	multiple ways to show mastery
accommodations	accommodations available to all students	accommodations for all students
data_instruction	data analytics drive instruction	data analytics drive instruction
adaptive_content	adaptive content	adaptive content
mentoring	1:1 mentoring	1:1 mentoring
mental_health	mental health services	mental health services
physical_health	physical health services	physical health services
community_support	family and community support services	family & community support
open_hours	expanded open hours	expanded open hours
